Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,236.464680582636,236.225197866483,235.943361918146,235.522178240542,234.939637417171,234.606908225034,230.304633348634,230.750625466231,231.155712565925,232.108053883634,234.153668555637,235.712929356538,236.595494618731
Ghana,GHA,Population density (people per sq. km of land area),EN.POP.DNST,95.8716797046673,98.3521798365123,100.922677331458,103.559044563593,106.22721279775,108.902254548651,111.574712138525,114.250017579327,116.936107937066,119.646971960974,122.392568339633,125.173358530368,127.983963259207
Gibraltar,GIB,Population density (people per sq. km of land area),EN.POP.DNST,3321.9,3341.7,3351.7,3355.9,3356.5,3358.5,3361.2,3364.6,3369.2,3372.5,3373.6,3373.7,3372.8
Greece,GRC,Population density (people per sq. km of land area),EN.POP.DNST,85.2390535298681,85.4954383242824,85.7135221101629,85.9413576415826,86.1677036462374,86.278828549263,86.1512723041117,85.6866640806827,85.067579519007,84.5028161365399,83.947889837083,83.5994647013189,83.4342823894492
Greenland,GRL,Population density (people per sq. km of land area),EN.POP.DNST,0.138713607016689,0.138321354610793,0.137787793884761,0.137234742355951,0.137222560604215,0.138640516506274,0.138603971251066,0.138409063223292,0.137612376659764,0.137154342794494,0.136713363381654,0.136888780606651,0.136852235351444
Grenada,GRD,Population density (people per sq. km of land area),EN.POP.DNST,307.826470588235,308.626470588235,309.382352941176,310.164705882353,311.144117647059,312.45,314.105882352941,316.017647058824,318.147058823529,320.3,322.35,324.297058823529,326.1
Guam,GUM,Population density (people per sq. km of land area),EN.POP.DNST,293.337037037037,293.792592592593,294.161111111111,294.511111111111,294.862962962963,295.266666666667,295.725925925926,296.288888888889,297.05,298.177777777778,299.727777777778,301.761111111111,304.224074074074
Guatemala,GTM,Population density (people per sq. km of land area),EN.POP.DNST,122.210041060097,125.018859649123,127.849262784621,130.705748413587,133.597079134005,136.528714072415,139.499841358716,142.504460619634,145.537709966405,148.593159761105,151.665070921986,154.750466592012,157.847480403136
Guinea,GIN,Population density (people per sq. km of land area),EN.POP.DNST,37.0730139996744,37.8781743447827,38.7358049812795,39.63369689077,40.5521284388735,41.4788214227576,42.4079073742471,43.3502726680775,44.3301725541266,45.3808277714472,46.5248575614521,47.7716140322318,49.1109352108091
Guinea-Bissau,GNB,Population density (people per sq. km of land area),EN.POP.DNST,47.8282361308677,48.9893669985775,50.197119487909,51.4557610241821,52.7710170697013,54.146479374111,55.5828236130868,57.07606685633,58.6151137980085,60.1863086770982,61.7781650071124,63.3868065433855,65.0123044096728
Guyana,GUY,Population density (people per sq. km of land area),EN.POP.DNST,3.79051562103124,3.79143002286005,3.79209550419101,3.7938379476759,3.79841503683007,3.80714249428499,3.82030988061976,3.83743459486919,3.85717551435103,3.87797815595631,3.89856235712471,3.91854711709423,3.93813055626111
Haiti,HTI,Population density (people per sq. km of land area),EN.POP.DNST,333.646153846154,339.07057329463,344.532946298984,350.021044992743,355.516908563135,361.00587808418,366.484760522496,371.949564586357,377.382910014514,382.765166908563,388.082075471698,393.322568940493,398.489332365747
Honduras,HND,Population density (people per sq. km of land area),EN.POP.DNST,66.6635534900349,68.2303869872196,69.7874519617481,71.3285816426848,72.8463222808115,74.3361337027438,75.7947180266333,77.2248726427742,78.6354544642059,80.0392260255608,81.4453123603539,82.8563321118956,84.2703816248101
"Hong Kong SAR, China",HKG,Population density (people per sq. km of land area),EN.POP.DNST,6488.7619047619,6530.57142857143,6586.95238095238,6626.47619047619,6640.7619047619,6689.71428571429,6734.85714285714,6809.61904761905,6837.04761904762,6885.2380952381,6944.09523809524,6987.2380952381,7039.71428571429
Hungary,HUN,Population density (people per sq. km of land area),EN.POP.DNST,112.566287244727,112.391139381765,112.217163263029,112.020845887736,110.710814094775,110.460874848117,110.148315475533,109.580934496852,109.27959792334,108.985618027173,108.726698332045,108.406307301447,108.118480061858
Iceland,ISL,Population density (people per sq. km of land area),EN.POP.DNST,2.95994014962594,3.03024438902743,3.10789027431421,3.16622443890274,3.17704738154613,3.17247880299252,3.18218453865337,3.19916209476309,3.22956608478803,3.2656957605985,3.29990024937656,3.34602493765586,3.42543640897756
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,385.98607118953,391.998591075579,397.959589531782,403.832168478974,409.568919241623,415.136997635536,420.520965360438,425.732223638583,430.798613273958,435.762323968532,440.655458615157,445.484341397623,450.243285831043
Indonesia,IDN,Population density (people per sq. km of land area),EN.POP.DNST,124.913456283776,126.585371804567,128.272296957887,129.981045170763,131.720310559349,133.494270163449,135.305953399537,137.147564267459,138.998990930519,140.833091738106,142.629462841624,144.379861666952,146.086480787383
